vendor_id,week,summer_dummy,price,sales
1,1,0,2,8788.7383
1,2,0,3,8937.9863
1,3,0,3,8740.1777
1,4,0,3,8757.1338
1,5,0,3,8739.6104
1,6,0,1.5,9094.7695
1,7,0,1.5,8657.3838
1,8,0,2.5,8677.9541
1,9,0,1.5,8641.834
1,10,0,3,8626.8887
1,11,0,2,8691.5889
1,12,0,2,8961.332
1,13,0,3,8592.0547
1,14,0,2,9126.543
1,15,0,2,9110.8711
1,16,0,2,9107.4473
1,17,0,3,8776.8369
1,18,0,2.5,8813.585
1,19,0,2.5,9170.5518
1,20,0,3,9013.1465
1,21,0,3,8761.8848
1,22,1,2.5,9100.0547
1,23,1,3,8974.6592
1,24,1,2.5,9036.0293
1,25,1,4,8757.1367
1,26,1,3,8958.2539
1,27,1,2.5,9013.2744
1,28,1,4,9177.2041
1,29,1,2.5,9533.3398
1,30,1,3,9040.9883
1,31,1,3.5,8882.9473
1,32,1,4,8908.7627
1,33,1,2.5,9333.1699
1,34,1,3,9605.2979
1,35,0,2.5,8288.7764
1,36,0,2.5,8843.8994
1,37,0,2.5,8651.4873
1,38,0,2.5,8879.042
1,39,0,1.5,9238.8008
1,40,0,3,9074.75
1,41,0,2,9121.0537
1,42,0,1.5,8985.8721
1,43,0,3,8469.7959
1,44,0,3,8913.3271
1,45,0,1.5,9034.2256
1,46,0,2.5,8775.5283
1,47,0,3,8988.3828
1,48,0,3,8653.0254
1,49,0,1.5,8823.1025
1,50,0,2,8900.7051
1,51,0,3,8743.8818
1,52,0,2.5,8478.7373
2,1,0,2.5,8976.3945
2,2,0,2.5,8523.9512
2,3,0,2.5,8847.0332
2,4,0,2.5,9055.2383
2,5,0,2.5,9053.915
2,6,0,2.5,8724.5127
2,7,0,2.5,8870.8066
2,8,0,2.5,9571.6006
2,9,0,2.5,9081.9766
2,10,0,2.5,8631.9688
2,11,0,2.5,9291.4824
2,12,0,2.5,8492.3252
2,13,0,2.5,8980.6992
2,14,0,2.5,8787.6309
2,15,0,2.5,9211.9326
2,16,0,2.5,8912.7188
2,17,0,2.5,9124.1123
2,18,0,2.5,8356.0537
2,19,0,2.5,8913.6943
2,20,0,2.5,9104.208
2,21,0,2.5,8809.7881
2,22,1,3.5,9242.5986
2,23,1,3.5,8968.5771
2,24,1,3.5,9436.6592
2,25,1,3.5,9224.5645
2,26,1,3.5,9078.3828
2,27,1,3.5,9056.3564
2,28,1,3.5,9272.6436
2,29,1,3.5,9272.7158
2,30,1,3.5,9492.625
2,31,1,3.5,8942.3867
2,32,1,3.5,9120.5801
2,33,1,3.5,9110.7119
2,34,1,3.5,9072.8965
2,35,0,2.5,8965.2607
2,36,0,2.5,9041.3945
2,37,0,2.5,9411.0938
2,38,0,2.5,8527.9346
2,39,0,2.5,8995.1992
2,40,0,2.5,8776.2305
2,41,0,2.5,9184.3945
2,42,0,2.5,8885.2988
2,43,0,2.5,9014.6074
2,44,0,2.5,9051.9297
2,45,0,2.5,8998.6543
2,46,0,2.5,8712.375
2,47,0,2.5,8801.5215
2,48,0,2.5,8845.7813
2,49,0,2.5,9492.9307
2,50,0,2.5,9357.5439
2,51,0,2.5,8901.5459
2,52,0,2.5,9063.8477
3,1,0,3,3667.6987
3,2,0,2,3943.8167
3,3,0,2,3815.5708
3,4,0,1.5,4231.8467
3,5,0,2.5,4124.2979
3,6,0,1.5,3955.6692
3,7,0,1.5,4214.0508
3,8,0,1.5,4228.5313
3,9,0,1.5,4483.5259
3,10,0,2.5,4108.0029
3,11,0,1.5,3994.7139
3,12,0,2.5,3917.79
3,13,0,2,4187.8057
